# =*= AGENT TRAINING =*=
#
# = TRAINING PARAMETERS =
#  * Agent type: reactive
#  * Dataset used: gibson
#  * Training length: 3000 episodes
#  * Date / hour: 2021-09-06_13:24:32
# = ADDITIONAL PARAMETERS =
#  * reward_method: column
#  * prioritized: True
#  * collisions: True
#
# = EPISODE TRAINING RESULTS

episode,time_taken,actions_taken,initial_goal_distance,final_goal_distance,distance_travelled,successful,average_reward
78,1.0218491554260254,8,4.556443,4.8365917,-0.2801485,False,-37.14602328012042
79,0.2546579837799072,2,1.4633374,1.4209588,0.042378664,False,-45.0
80,0.12811923027038574,1,7.6374173,7.6374173,0.0,False,-100.0
81,0.1286025047302246,1,6.1165247,6.1165247,0.0,False,-100.0
82,0.7636620998382568,6,9.352776,8.933933,0.41884232,False,-35.02678616664438
83,0.3809010982513428,3,4.027191,4.027191,0.0,False,-33.07121766818309
84,0.1283857822418213,1,12.667044,12.667044,0.0,False,-100.0
85,0.6371591091156006,5,1.3308748,1.3660673,-0.03519249,False,-27.7407663289441
86,0.6373350620269775,5,6.7674384,6.970297,-0.20285845,False,-39.35134111042869
87,0.6336910724639893,5,3.1729145,2.5104463,0.6624682,False,-14.611904698328681
88,0.2540113925933838,2,3.9713545,3.9713545,0.0,False,-50.125
89,1.1464853286743164,9,5.1850705,5.2149577,-0.0298872,False,-32.721170014256664
90,0.5096583366394043,4,3.1845565,3.3208523,-0.1362958,False,-29.92123602497267
91,0.38013267517089844,3,9.472212,9.242296,0.22991562,False,-30.083333333333332
92,0.12839388847351074,1,6.8486795,6.8486795,0.0,False,-100.0
93,0.12844157218933105,1,6.1691513,6.1691513,0.0,False,-100.0
94,0.255678653717041,2,4.960373,4.960373,0.0,False,-55.65120762727105
95,0.12822842597961426,1,15.082639,15.082639,0.0,False,-100.0
96,0.8941686153411865,7,7.1203203,7.290491,-0.17017078,False,-18.967324005848486
97,0.38327836990356445,3,5.7014465,5.8223453,-0.12089872,False,-37.73155807347882
98,0.5111467838287354,4,15.098875,15.255011,-0.15613556,False,-22.625
99,0.8901739120483398,7,9.884337,9.641777,0.24256039,False,-13.203691924531004
100,0.12926077842712402,1,5.8171706,5.8318505,-0.014679909,False,-100.0
101,0.5062811374664307,4,6.3351736,6.3351736,0.0,False,-24.522954426486933
102,0.1295785903930664,1,12.996966,12.778585,0.21838093,False,-100.0
103,0.12833690643310547,1,10.752146,10.90654,-0.15439415,False,-100.0
104,0.8923780918121338,7,11.617053,11.35662,0.2604332,False,-12.37416683646552
105,0.2568042278289795,2,8.459419,8.380302,0.07911682,False,-52.10818202828409
106,0.25560975074768066,2,5.173234,5.3400226,-0.16678858,False,-45.0
107,1.287794589996338,10,5.836629,5.853944,-0.01731491,False,-27.41590960187899
108,1.1534852981567383,9,7.0505147,7.0505147,0.0,False,-10.194444444444445
109,0.5155422687530518,4,9.205918,9.556723,-0.35080433,False,-56.818134193772664
110,1.1600100994110107,9,8.268135,8.382892,-0.114756584,False,-20.507411357490255
111,0.12936162948608398,1,7.4453716,7.4453716,0.0,False,-100.0
112,0.3868546485900879,3,14.961016,14.961016,0.0,False,-33.5
113,0.5158295631408691,4,4.1792736,4.306735,-0.12746143,False,-50.6138922225675
114,0.38784265518188477,3,9.195676,9.195676,0.0,False,-34.06968982145539
115,0.9057309627532959,7,3.3038,3.1022034,0.20159674,False,-26.055953501708625
116,0.2582719326019287,2,9.117391,9.117391,0.0,False,-52.86709916568833
117,0.13141655921936035,1,2.9590309,2.9590309,0.0,False,-100.0
118,0.3864312171936035,3,6.544416,6.409539,0.13487673,False,-29.282569965127056
119,0.2590498924255371,2,11.530712,11.530712,0.0,False,-51.92737512759663
120,0.38751769065856934,3,3.2975194,3.2975194,0.0,False,-32.055485898003234
121,0.518578052520752,4,3.5895443,3.9815238,-0.39197946,False,-46.72060936266311
122,0.7752234935760498,6,9.405645,9.405645,0.0,False,-17.58621271036971
123,0.7777590751647949,6,4.8627906,4.643483,0.21930742,False,-14.07562365179526
124,0.12976694107055664,1,8.804794,8.804794,0.0,False,-100.0
125,0.13085198402404785,1,4.470421,4.5207214,-0.0503006,False,-100.0
126,0.13051772117614746,1,4.6608324,4.6608324,0.0,False,-100.0
127,0.26157212257385254,2,7.6305466,7.6305466,0.0,False,-49.83985459395154
128,0.26458215713500977,2,11.831421,11.831421,0.0,False,-45.0
129,0.7734904289245605,6,8.44275,8.939367,-0.49661732,False,-26.579937032081983
130,0.25965213775634766,2,14.511024,14.297962,0.21306229,False,-45.0
131,0.7765426635742188,6,4.1918726,3.9970686,0.19480395,False,-14.725505154531987
132,0.390850305557251,3,4.2980003,4.071249,0.22675133,False,-63.22381994522641
133,0.39165306091308594,3,4.4863734,4.4863734,0.0,False,-33.46864760152598
134,0.38842034339904785,3,8.943178,8.943178,0.0,False,-33.5
135,0.39007043838500977,3,4.420404,4.6703563,-0.24995232,False,-55.66109057947866
136,0.5180387496948242,4,7.395788,7.395788,0.0,False,-24.537087233426405
137,0.6487557888031006,5,5.7811837,5.977994,-0.19681025,False,-24.13620491027832
138,0.9113357067108154,7,3.3197334,3.5541315,-0.23439813,False,-20.239057558561253
139,0.6465907096862793,5,5.220763,5.270617,-0.0498538,False,-24.738304714079028
140,0.13025832176208496,1,7.7019095,7.7019095,0.0,False,-100.0
141,0.39701080322265625,3,17.026686,17.185558,-0.1588726,False,-39.90020599311887
142,0.1308000087738037,1,11.766507,11.766507,0.0,False,-100.0
143,0.7869296073913574,6,4.232297,4.232297,0.0,False,-18.34838185013363
144,0.26332712173461914,2,5.337462,5.337462,0.0,False,-48.36899105582984
145,0.7840209007263184,6,1.5127466,1.3169318,0.19581473,False,-25.21283768311292
146,0.6513044834136963,5,1.5361732,1.7047622,-0.168589,False,-32.140279104320136
147,0.5210180282592773,4,13.051484,12.668535,0.38294888,False,-17.5
148,0.13084697723388672,1,10.709747,10.709747,0.0,False,-100.0
149,0.26035404205322266,2,4.680561,4.680561,0.0,False,-51.128716619253
150,0.13127541542053223,1,2.8313913,2.8313913,0.0,False,-100.0
151,0.6521167755126953,5,2.6976473,2.929451,-0.23180366,False,-20.2
152,1.4383535385131836,11,7.2522163,7.869181,-0.6169648,False,-26.49897987711846
153,0.3915109634399414,3,13.522647,13.568165,-0.04551792,False,-35.10811801322931
154,0.26159024238586426,2,1.2830238,1.2830238,0.0,False,-50.125
155,0.2640349864959717,2,10.532253,10.290973,0.24128056,False,-63.38089058857429
156,2.4850802421569824,19,6.4584002,6.4097376,0.048662663,False,-6.08247097438814
157,0.5262963771820068,4,12.90304,12.938214,-0.03517437,False,-28.728257188278974
158,0.3990650177001953,3,7.85033,8.032478,-0.18214846,False,-63.333333333333336
159,0.6586184501647949,5,5.4329123,5.867551,-0.4346385,False,-31.86493845226919
160,0.26277995109558105,2,9.534987,9.292128,0.24285984,False,-45.0
161,0.38916897773742676,3,5.356719,5.356719,0.0,False,-33.5
162,0.13146018981933594,1,13.004455,13.004455,0.0,False,-100.0
163,0.13250184059143066,1,5.167442,4.9901905,0.17725134,False,-100.0
164,0.13126254081726074,1,6.8944793,6.8944793,0.0,False,-100.0
165,0.13493919372558594,1,9.606764,9.606764,0.0,False,-100.0
166,0.2614905834197998,2,3.8727567,3.8727567,0.0,False,-49.819654769869004
167,0.26231861114501953,2,2.586801,2.586801,0.0,False,-46.63575459700863
168,0.26470041275024414,2,6.287037,6.0370655,0.24997139,False,-45.0
169,0.523535966873169,4,13.421263,13.564201,-0.14293861,False,-31.553137843301727
170,0.5242331027984619,4,9.180731,9.180731,0.0,False,-24.478784432455342
171,0.5219748020172119,4,2.8079214,2.734923,0.07299852,False,-23.362536907196045
172,0.26221299171447754,2,7.3321357,7.3321357,0.0,False,-52.556596232562356
173,0.1312704086303711,1,9.0042925,9.0042925,0.0,False,-100.0
174,0.2678248882293701,2,4.5253434,4.5253434,0.0,False,-49.89970955555901
175,0.39463043212890625,3,3.2159147,3.4657788,-0.2498641,False,-41.29691366910373
176,0.13152384757995605,1,1.8116546,1.8116546,0.0,False,-100.0
177,0.5249226093292236,4,5.945221,6.0491,-0.103878975,False,-37.798506116221915
178,0.13262701034545898,1,7.715592,7.715592,0.0,False,-100.0
179,1.1927332878112793,8,12.102286,12.590618,-0.4883318,False,-22.502538903090425
180,0.3914041519165039,3,4.8700247,4.8700247,0.0,False,-33.5
181,0.7912969589233398,6,2.6938102,2.4071724,0.28663778,False,-14.614720281569808
182,0.3924384117126465,3,12.100805,12.100805,0.0,False,-33.5
183,0.7855117321014404,6,9.694049,9.943207,-0.2491579,False,-22.663787673081895
184,0.26352787017822266,2,5.26388,5.4408956,-0.17701578,False,-100.0
185,0.1321263313293457,1,10.009782,10.009782,0.0,False,-100.0
186,0.6583375930786133,5,4.6499557,4.6499557,0.0,False,-23.300230906963314
187,1.048818826675415,8,3.8549657,4.096164,-0.24119854,False,-16.906991325692985
188,1.4460651874542236,11,3.9412074,3.5497348,0.39147258,False,-11.26584256016314
189,0.6600935459136963,5,3.0631914,3.0631914,0.0,False,-34.28516590561852
190,0.3972282409667969,3,1.6426216,1.6426216,0.0,False,-35.81432252850621
191,0.13236713409423828,1,3.5054114,3.5054114,0.0,False,-100.0
192,0.13270282745361328,1,5.991942,5.991942,0.0,False,-100.0
193,0.2643706798553467,2,3.239202,3.0363963,0.20280576,False,-62.45491782122377
194,1.576446533203125,12,6.5109725,6.096636,0.41433668,False,-5.143289626105694
195,0.13292193412780762,1,11.107507,11.107507,0.0,False,-100.0
196,0.13283061981201172,1,9.842211,9.842211,0.0,False,-100.0
197,0.6635115146636963,5,4.9521246,4.7489624,0.2031622,False,-46.09102523625213
198,0.1327366828918457,1,7.388964,7.388964,0.0,False,-100.0
199,0.13313961029052734,1,7.029105,7.029105,0.0,False,-100.0
200,0.3991701602935791,3,10.591341,10.591341,0.0,False,-37.193600745217964
201,0.5333962440490723,4,9.474583,9.474583,0.0,False,-24.487313907874267
202,1.0622837543487549,8,5.672279,5.2073164,0.46496248,False,-24.428693062913226
203,0.5345900058746338,4,8.360057,8.862104,-0.50204754,False,-37.80682894266124
204,0.6701474189758301,5,10.662116,10.662116,0.0,False,-16.00798304820096
205,0.13592290878295898,1,1.6981056,1.5058652,0.19224036,False,-100.0
206,0.6655464172363281,5,6.647661,5.9580226,0.6896386,False,-14.05
207,1.4675660133361816,11,3.165957,2.7479627,0.41799426,False,-6.554416885719501
208,0.40121006965637207,3,5.5553803,5.777503,-0.22212267,False,-40.90408897399902
209,0.6681780815124512,5,4.755736,4.755736,0.0,False,-18.900174436631335
210,0.537661075592041,4,3.9603086,3.9603086,0.0,False,-25.167973996662
211,0.13634681701660156,1,2.4380987,2.4380987,0.0,False,-100.0
212,0.9351379871368408,7,12.228542,11.825942,0.4026003,False,-10.017673939814163
213,0.9407773017883301,7,7.4148693,7.2122965,0.20257282,False,-12.988243228509125
214,0.5354149341583252,4,8.308889,8.308889,0.0,False,-26.202235925994984
215,0.13521575927734375,1,5.365884,5.365884,0.0,False,-100.0
216,0.1359419822692871,1,6.839648,6.839648,0.0,False,-100.0
217,0.5362203121185303,4,9.129302,9.301591,-0.1722889,False,-29.494722366333008
218,0.268369197845459,2,13.875147,13.875147,0.0,False,-49.28270442059909
219,2.4192965030670166,18,4.979061,6.663788,-1.6847267,False,-16.153895507219893
220,0.13593363761901855,1,8.735202,8.735202,0.0,False,-100.0
221,0.1388847827911377,1,5.532376,5.4756436,0.056732178,False,-100.0
222,0.13522052764892578,1,11.721588,11.721588,0.0,False,-100.0
223,0.2713887691497803,2,12.398538,12.398538,0.0,False,-45.0
224,0.6769897937774658,5,2.169857,2.501959,-0.33210206,False,-41.18279548755679
225,1.622023582458496,12,3.8264916,3.8264916,0.0,False,-3.7685738725420825
226,0.6766188144683838,5,6.7480164,6.7480164,0.0,False,-25.295234772730236
227,0.1369483470916748,1,2.1383252,2.1383252,0.0,False,-100.0
228,0.27376341819763184,2,9.206507,9.206507,0.0,False,-50.125
229,0.2732250690460205,2,9.885262,9.885262,0.0,False,-51.634354822309206
230,1.2225594520568848,9,4.7905116,5.5259085,-0.73539686,False,-28.27202233187524
231,0.13993453979492188,1,4.588075,4.588075,0.0,False,-100.0
232,0.5460596084594727,4,4.4992332,4.4992332,0.0,False,-28.102998391448452
233,0.27083611488342285,2,5.755085,5.755085,0.0,False,-46.280839206743565
234,1.3585340976715088,10,5.704735,5.064858,0.63987684,False,-8.887404728318803
235,0.13833880424499512,1,2.2622178,2.2622178,0.0,False,-100.0
236,0.2725253105163574,2,13.140942,13.085604,0.055337906,False,-47.35810470581055
237,0.1366865634918213,1,4.2639575,4.2639575,0.0,False,-100.0
238,0.1368551254272461,1,3.012404,3.012404,0.0,False,-100.0
239,0.5449094772338867,4,11.129352,10.968688,0.1606636,False,-22.625
240,1.2225396633148193,9,3.2359111,2.4758775,0.7600336,False,-6.5215158072225154
241,0.8180887699127197,6,7.3731337,7.266099,0.10703468,False,-40.561284397244286
242,0.2725200653076172,2,4.889159,4.889159,0.0,False,-55.77667892712623
243,0.13763427734375,1,6.4465327,6.4465327,0.0,False,-100.0
244,1.229360580444336,9,12.191002,11.706075,0.48492718,False,-9.01818834740316
245,1.6387953758239746,12,2.7481122,1.669479,1.0786332,False,-5.0311191612813175
246,0.13798213005065918,1,9.180284,9.180284,0.0,False,-100.0
247,0.13659238815307617,1,10.141705,10.141705,0.0,False,-100.0
248,0.4108107089996338,3,5.3951583,5.3951583,0.0,False,-33.5
249,0.4072544574737549,3,6.1778917,6.1778917,0.0,False,-33.5
250,0.27208518981933594,2,10.715971,10.715971,0.0,False,-55.66787546444721
251,0.1371781826019287,1,8.277711,8.277711,0.0,False,-100.0
252,1.6491641998291016,12,4.8822827,4.454022,0.4282608,False,-6.325840426238661
253,0.2794029712677002,2,4.0234723,4.0234723,0.0,False,-45.143590265749054
254,1.2328104972839355,9,13.221981,13.739643,-0.51766205,False,-17.879816079276704
255,0.14237070083618164,1,5.9299884,5.9299884,0.0,False,-100.0
256,0.5471780300140381,4,9.98455,9.830064,0.15448666,False,-21.608629874014042
257,0.1376054286956787,1,8.374696,8.374696,0.0,False,-100.0
258,0.27486228942871094,2,6.6622777,6.6622777,0.0,False,-50.125
259,0.13792657852172852,1,11.905333,11.954612,-0.049279213,False,-100.0
260,0.5573747158050537,4,1.5995203,1.5995203,0.0,False,-24.83802560948334
261,1.923692226409912,14,4.4941797,5.367396,-0.87321615,False,-13.83232639690598
262,0.6921241283416748,5,14.322243,14.078169,0.24407387,False,-20.394667543645163
263,0.5584235191345215,4,9.450012,9.699672,-0.24965954,False,-34.50087514838077
264,0.6918208599090576,5,9.414131,9.169836,0.24429512,False,-15.08435831633633
265,1.1103527545928955,8,9.296586,9.296586,0.0,False,-16.84906807898281
266,0.2766575813293457,2,10.548059,10.548059,0.0,False,-54.53004147080094
267,0.14036202430725098,1,4.4601173,4.4601173,0.0,False,-100.0
268,0.1419224739074707,1,2.3424678,2.3424678,0.0,False,-100.0
269,0.5563933849334717,4,3.8892379,3.9418871,-0.05264926,False,-27.203424517022626
270,0.27706384658813477,2,10.98244,10.98244,0.0,False,-45.58807239085047
271,1.5312604904174805,11,2.5199852,2.41391,0.10607529,False,-12.28630740083466
272,0.8365123271942139,6,6.5201516,6.1138444,0.40630722,False,-27.350681904199064
273,0.28385329246520996,2,5.9620852,5.9620852,0.0,False,-49.313970536055365
274,0.8369183540344238,6,5.7588916,5.8139687,-0.055077076,False,-30.514775515450783
275,0.9761009216308594,7,8.878635,9.367188,-0.48855305,False,-21.724012865542427
276,1.2605948448181152,9,4.0286937,4.250959,-0.22226524,False,-14.322249885539224
277,0.9821226596832275,7,5.7892118,5.45986,0.3293519,False,-23.242461302892007
278,0.14119744300842285,1,5.613175,5.613175,0.0,False,-100.0
279,0.5638473033905029,4,10.043049,10.043049,0.0,False,-25.1875
280,0.8397860527038574,6,2.0549338,2.0549338,0.0,False,-16.967546041920958
281,0.7042508125305176,5,4.4165587,4.606939,-0.1903801,False,-24.007601928710937
282,1.8336842060089111,13,7.9519844,8.265624,-0.31363964,False,-11.305289708291683
283,0.41956019401550293,3,9.1950035,9.287688,-0.092684746,False,-39.84059521231529
284,0.8479819297790527,6,4.4785013,4.4283795,0.050121784,False,-14.461628916803116
285,0.7061104774475098,5,8.909209,8.921175,-0.011965752,False,-28.82292851826792
286,0.28716540336608887,2,1.546993,1.546993,0.0,False,-45.0
287,0.2846848964691162,2,9.256143,9.256143,0.0,False,-46.81803492683821
288,0.42648816108703613,3,7.2549324,7.2549324,0.0,False,-32.92907155307349
289,0.5642142295837402,4,6.0753818,6.0753818,0.0,False,-27.10089618959674
290,0.14374232292175293,1,5.1518307,5.1518307,0.0,False,-100.0
291,0.286388635635376,2,2.6151712,2.1555007,0.45967054,False,-47.027264100588894
292,0.28408360481262207,2,6.057532,6.057532,0.0,False,-47.09755620266873
293,0.8463890552520752,6,8.397342,8.151928,0.24541378,False,-19.392010713855598
294,0.42604541778564453,3,6.7079153,6.628047,0.07986832,False,-31.08686118291227
295,0.9937429428100586,7,8.350713,8.021808,0.3289051,False,-12.748710757210281
296,0.2871382236480713,2,9.042585,9.042585,0.0,False,-65.25582654063766
297,0.14223408699035645,1,4.28222,4.28222,0.0,False,-100.0
298,0.2848927974700928,2,3.7963176,3.7963176,0.0,False,-56.5568088758063
299,0.5678126811981201,4,5.1805706,5.3169675,-0.13639688,False,-46.05345429483924
300,1.2766697406768799,9,3.9279618,3.612051,0.31591082,False,-6.743180820639136
301,0.2832469940185547,2,8.26096,8.26096,0.0,False,-49.53707826414143
302,0.2852473258972168,2,10.166368,10.166368,0.0,False,-51.87245574269946
303,0.2890963554382324,2,4.1955075,4.1955075,0.0,False,-45.0
304,0.9910407066345215,7,4.6113925,5.106779,-0.4953866,False,-22.008498035878933
305,0.7142965793609619,5,7.1787825,7.1787825,0.0,False,-20.2
306,0.5697731971740723,4,8.547263,8.813304,-0.2660408,False,-32.05120339751355
307,0.14298319816589355,1,3.9547272,3.9547272,0.0,False,-100.0
